dyad,statelno,statelab,statehno,statehab,conttype,begin,end,notes,version
240273,240,"HAN",273,"HSE",1,183801,186607,"Begins with HSE system entry; ends with GMY absorption of HSE",3.2
240280,240,"HAN",280,"MEC",1,184301,186607,"Begins with MEC system entry; ends with GMY absorption of HAN",3.2
240380,240,"HAN",380,"SWD",5,183801,186607,"Across North Sea (through Norway); begins with HAN system entry; ends with GMY absorption of HAN",3.2
240390,240,"HAN",390,"DEN",4,183801,186607,"Across North Sea; begins with HAN system entry; ends with GMY absorption of HAN",3.2
245255,245,"BAV",255,"GMY",1,181601,187101,"Ends with GMY absorption of BAV",3.2
245267,245,"BAV",267,"BAD",1,181601,187101,"Ends with GMY absorption of BAD/BAV",3.2
245269,245,"BAV",269,"SAX",1,181601,186704,"Ends with GMY absorption of SAX",3.2
245271,245,"BAV",271,"WRT",1,181601,187001,"Ends with GMY absorption of WRT",3.2
245273,245,"BAV",273,"HSE",1,181601,186607,"Ends with GMY absorption of HSE",3.2
245275,245,"BAV",275,"HSG",1,181601,186704,"Ends with GMY absorption of HSG",3.2
245300,245,"BAV",300,"AUH",1,181601,187101,"Ends with GMY absorption of BAV",3.2
255267,255,"GMY",267,"BAD",1,184912,187101,"Through Hohenzollern; begins with Prussian incorporation of Hohenzollern; ends with GMY absorption of BAD",3.2
255269,255,"GMY",269,"SAX",1,181601,186704,"Ends with GMY absorption of SAX",3.2
255271,255,"GMY",271,"WRT",1,184912,187001,"Through Hohenzollern; begins with Prussian incorporation of Hohenzollern; ends with GMY absorption of WRT",3.2
255273,255,"GMY",273,"HSE",1,181601,186607,"Ends with GMY absorption of HSE",3.2
255275,255,"GMY",275,"HSG",1,181601,186704,"Ends with GMY absorption of HSG",3.2
255280,255,"GMY",280,"MEC",1,184301,186704,"Begins with MEC system entry; ends with GMY absorption of HAN",3.2
255290,255,"GMY",290,"POL",1,191811,193909,"Begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
255290,255,"GMY",290,"POL",1,199010,201612,"Resumes after GMY reunification",3.2
255300,255,"GMY",300,"AUH",1,181601,191811,"Begins with POL system entry; ends with dissolution of Austria-Hungary",3.2
255305,255,"GMY",305,"AUS",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.2
255305,255,"GMY",305,"AUS",1,199010,201612,"Resumes after GMY reunification",3.2
255310,255,"GMY",310,"HUN",1,193803,194505,"Through Austria; begins after Anschluss; ends with Allied occupation of GMY",3.2
255315,255,"GMY",315,"CZE",1,191810,193903,"Begins with CZE system entry; ends with GMY occupation of CZE",3.2
255315,255,"GMY",315,"CZE",1,199010,199212,"Resumes after GMY reunification; ends with CZE dissolution",3.2
255316,255,"GMY",316,"CZR",1,199301,201612,"Begins with CZR system entry",3.2
255325,255,"GMY",325,"ITA",1,193803,194505,"Through Austria; begins after Anschluss; ends with Allied occupation of GMY",3.2
255345,255,"GMY",345,"YUG",1,193803,194104,"Through Austria and Slovenia; begins after Anschluss; ends with GMY occupation of YUG",3.2
255345,255,"GMY",345,"YUG",1,194410,194505,"Through Austria and Slovenia; begins after GMY occupation of YUG ends; ends with Allied occupation of GMY",3.2
255365,255,"GMY",365,"RUS",1,181601,191811,"Through East Prussia and Poland/Lithuania; ends with independence of POL & LIT",3.2
255365,255,"GMY",365,"RUS",1,193909,194106,"Through occupied Poland; begins with GMY/RUS occupation of POL; ends with removal of RUS occupiers",3.2
255365,255,"GMY",365,"RUS",5,199010,201612,"Across Baltic Sea; through Kaliningrad; resumes after GMY reunification",3.2
255366,255,"GMY",366,"EST",5,191802,194006,"Across Baltic Sea; begins with EST system entry; ends with RUS annexation of EST",3.2
255366,255,"GMY",366,"EST",5,199109,201612,"Across Baltic Sea; resumes with EST independence from RUS",3.2
255367,255,"GMY",367,"LAT",4,191811,194006,"Across Baltic Sea; through East Prussia; begins with LAT system entry; ends with RUS annexation of LAT",3.2
255367,255,"GMY",367,"LAT",5,199109,201612,"Across Baltic Sea; resumes with LAT independence from RUS",3.2
255368,255,"GMY",368,"LIT",1,191802,194006,"Through East Prussia; begins with LIT system entry; ends with RUS annexation of LIT",3.2
255368,255,"GMY",368,"LIT",5,199109,201612,"Across Baltic Sea; resumes with LIT independence from RUS",3.2
255375,255,"GMY",375,"FIN",5,191712,194505,"Across Baltic Sea; through East Prussia; begins with FIN system entry; ends with Allied occupation of GMY",3.2
255380,255,"GMY",380,"SWD",4,181601,194505,"Across Baltic Sea; ends with Allied occupation of GMY",3.2
255380,255,"GMY",380,"SWD",4,199010,201612,"Across Baltic Sea; resumes after GMY reunification",3.2
255385,255,"GMY",385,"NOR",5,190506,194004,"Across North Sea; begins with NOR system entry; ends with GMY occupation of NOR",3.2
255385,255,"GMY",385,"NOR",5,199010,201612,"Across North Sea; resumes after GMY reunification",3.2
255390,255,"GMY",390,"DEN",4,181601,186508,"Across Brandenburger Bucht; through Holstein; ends with Prussian acquisition of direct land border after 2nd Schleswig-Holstein war",3.2
255390,255,"GMY",390,"DEN",1,186508,194004,"Begins with Prussian acquisition of Schleswig; ends with GMY occupation of DEN",3.2
255390,255,"GMY",390,"DEN",1,199010,201612,"Resumes after GMY reunification",3.2
260265,260,"GFR",265,"GDR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
260305,260,"GFR",305,"AUS",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
260315,260,"GFR",315,"CZE",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
260365,260,"GFR",365,"RUS",5,195505,199010,"Across Baltic Sea; through Kaliningrad; begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
260380,260,"GFR",380,"SWD",4,195505,199010,"Across Baltic Sea; begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
260385,260,"GFR",385,"NOR",5,195505,199010,"Across North Sea; begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
260390,260,"GFR",390,"DEN",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
265290,265,"GDR",290,"POL",1,195403,199010,"Begins with GDR system entry after division of GMY; ends with GMY reunification",3.2
265315,265,"GDR",315,"CZE",1,195403,199010,"Begins with GDR system entry after division of GMY; ends with GMY reunification",3.2
265365,265,"GDR",365,"RUS",5,195403,199010,"Across Baltic Sea; through Kaliningrad; begins with GDR system entry after division of GMY; ends with GMY reunification",3.2
265380,265,"GDR",380,"SWD",4,195403,199010,"Across Baltic Sea; begins with GDR system entry after division of GMY; ends with GMY reunification",3.2
265390,265,"GDR",390,"DEN",3,195403,199010,"Across Mecklenburger Bucht; begins with GDR system entry after division of GMY; ends with GMY reunification",3.2
267271,267,"BAD",271,"WRT",1,181601,187001,"Ends with GMY absorption of WRT",3.2
267275,267,"BAD",275,"HSG",1,181601,186607,"Ends with GMY absorption of HSE",3.2
267300,267,"BAD",300,"AUH",3,181601,187101,"Across Lake Constance; ends with GMY absorption of BAD/BAV",3.2
269300,269,"SAX",300,"AUH",1,181601,186704,"Ends with GMY absorption of SAX",3.2
271300,271,"WRT",300,"AUH",2,181601,187001,"Across Lake Constance; ends with GMY absorption of WRT",3.2
273275,273,"HSE",275,"HSG",1,181601,186607,"Ends with GMY absorption of HSE",3.2
280365,280,"MEC",365,"RUS",5,184301,186704,"Across Baltic Sea; through Lithuania; egins with MEC system entry; ends with GMY absorption of MEC",3.2
280380,280,"MEC",380,"SWD",4,184301,186704,"Across Baltic Sea; begins with MEC system entry; ends with GMY absorption of MEC",3.2
280390,280,"MEC",390,"DEN",3,184301,186704,"Across Mecklenburger Bucht; begins with MEC system entry; ends with GMY absorption of MEC",3.2
290315,290,"POL",315,"CZE",1,191811,193903,"Begins with POL system entry; ends with GMY occupation of CZE",3.2
290315,290,"POL",315,"CZE",1,194506,199212,"Resumes after GMY occupation ends; ends with dissolution of CZE",3.2
290316,290,"POL",316,"CZR",1,199301,201612,"Begins with CZR system entry",3.2
290317,290,"POL",317,"SLO",1,199301,201612,"Begins with SLO system entry",3.2
290360,290,"POL",360,"ROM",1,191811,193909,"Begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
290365,290,"POL",365,"RUS",1,191811,193909,"Begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
290365,290,"POL",365,"RUS",1,194506,201612,"Resumes after GMY occupation of POL ends",3.2
290366,290,"POL",366,"EST",5,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
290366,290,"POL",366,"EST",5,199109,201612,"Across Baltic Sea; resumes with EST independence from RUS",3.2
290367,290,"POL",367,"LAT",1,191811,193909,"Begins with POL system entry; land border due to POL rule over Vilvius area; ends with GMY/RUS occupation of POL",3.2
290367,290,"POL",367,"LAT",4,199109,201612,"Across Baltic Sea (sea border replaces land because POL lost Vilnius to LIT); resumes with LAT independence from RUS",3.2
290368,290,"POL",368,"LIT",1,191811,193909,"Begins with POL independence; ends with GMY/RUS occupation of POL",3.2
290368,290,"POL",368,"LIT",1,199109,201612,"Resumes with LIT independence from RUS",3.2
290369,290,"POL",369,"UKR",1,199112,201612,"Begins with UKR system entry",3.2
290370,290,"POL",370,"BLR",1,199112,201612,"Begins with BLR system entry",3.2
290375,290,"POL",375,"FIN",5,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
290375,290,"POL",375,"FIN",5,194506,201612,"Across Baltic Sea; resumes after GMY occupation of POL ends",3.2
290380,290,"POL",380,"SWD",4,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
290380,290,"POL",380,"SWD",4,194506,201612,"Across Baltic Sea; resumes after GMY occupation of POL ends",3.2
290390,290,"POL",390,"DEN",4,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
290390,290,"POL",390,"DEN",4,194506,201612,"Across Baltic Sea; resumes after GMY occupation of POL ends",3.2
300325,300,"AUH",325,"ITA",1,181601,191811,"Ends with dissolution of Austria-Hungary",3.2
300327,300,"AUH",327,"PAP",1,181601,186011,"Ends with ITA absorption of PAP",3.2
300329,300,"AUH",329,"SIC",4,181601,186102,"Across Adriatic Sea; through Croatia and Naples (mainland portion of SIC); ends with ITA absorption of SIC",3.2
300332,300,"AUH",332,"MOD",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD",3.2
300335,300,"AUH",335,"PMA",1,185101,186003,"Begins with PMA system entry; ends with ITA absorption of PMA",3.2
300345,300,"AUH",345,"YUG",1,187807,191811,"Through Austria-Slovenia and Hungary-Slovenia/Croatia/Vojvodina(Serbia); begins with YUG system entry; ends with dissolution of AUH",3.2
300350,300,"AUH",350,"GRC",5,186403,191811,"Across Adriatic/Strait of Otranto; hrough Croatia and Corfu; begins with GRC acquisition of Ionian Islands; ends with dissolution of AUH",3.2
300360,300,"AUH",360,"ROM",1,187807,191811,"Begins with ROM system entry; ends with dissolution of AUH",3.2
300365,300,"AUH",365,"RUS",1,181601,191811,"Ends with dissolution of AUH",3.2
300640,300,"AUH",640,"TUR",1,181601,191305,"Through Bosnia (AUH) and Kosovo (TUR); ends with Ottoman losses in Balkan Wars (codified in Treaty of London)",3.2
305310,305,"AUS",310,"HUN",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.2
305310,305,"AUS",310,"HUN",1,195507,201612,"Resumes with AUS system reentry",3.2
305315,305,"AUS",315,"CZE",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.2
305315,305,"AUS",315,"CZE",1,195507,199212,"Resumes with AUS system reentry; ends with dissolution of CZE",3.2
305316,305,"AUS",316,"CZR",1,199301,201612,"Begins with CZR system entry",3.2
305317,305,"AUS",317,"SLO",1,199301,201612,"Begins with SLO system entry",3.2
305325,305,"AUS",325,"ITA",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.2
305325,305,"AUS",325,"ITA",1,195507,201612,"Resumes with AUS system reentry",3.2
305345,305,"AUS",345,"YUG",1,191909,193803,"Through Slovenia; begins with AUS system entry; ends with AUS Anschluss with GMY",3.2
305345,305,"AUS",345,"YUG",1,195507,199201,"Through Slovenia; resumes when AUS rejoins system; ends when SLV becomes independent",3.2
305349,305,"AUS",349,"SLV",1,199201,201612,"Begins with SLV system entry",3.2
310315,310,"HUN",315,"CZE",1,191811,193903,"Begins with HUN system entry; ends with GMY occupation of CZE",3.2
310315,310,"HUN",315,"CZE",1,194506,199212,"Through Slovakia; resumes after GMY occupation of CZE ends; ends with dissolution of CZE",3.2
310317,310,"HUN",317,"SLO",1,199301,201612,"Begins with SLO system entry",3.2
310344,310,"HUN",344,"CRO",1,199201,201612,"Begins with CRO system entry",3.2
310345,310,"HUN",345,"YUG",1,191811,194104,"Through Slovenia/Croatia/Vojvodina(Serbia); begins with HUN system entry; ends with GMY occupation of YUG",3.2
310345,310,"HUN",345,"YUG",1,194410,201612,"Through Vojvodina(Serbia) and (until 1992) Slovenia/Croatia; resumes after GMY occupation of YUG ends",3.2
310349,310,"HUN",349,"SLV",1,199201,201612,"Begins with SLV system entry",3.2
310360,310,"HUN",360,"ROM",1,191811,201612,"Begins with HUN system entry",3.2
310365,310,"HUN",365,"RUS",1,193911,194106,"Through Ukraine; begins with RUS annexation of Galicia from POL; ends with WWII German occupation of USSR",3.2
310365,310,"HUN",365,"RUS",1,194408,199112,"Through Ukraine; resumes after Ukraine recaptured from GMY; ends with UKR secession from RUS",3.2
310369,310,"HUN",369,"UKR",1,199112,201612,"Begins with UKR system entry",3.2
315360,315,"CZE",360,"ROM",1,191810,193903,"Begins with CZE system entry; ends with GMY occupation of CZE",3.2
315365,315,"CZE",365,"RUS",1,194506,199112,"Through Slovakia & Ukraine; begins after GMY occupation of CZE ends; ends with UKR secession from RUS",3.2
315369,315,"CZE",369,"UKR",1,199112,199212,"Through Slovakia; begins with UKR system entry; ends with dissolution of CZE",3.2
316317,316,"CZR",317,"SLO",1,199301,201612,"Begins with SLO system entry",3.2
317369,317,"SLO",369,"UKR",1,199301,201612,"Begins with SLO system entry",3.2
325327,325,"ITA",327,"PAP",4,181601,186011,"Across Tyrrhenian Sea; through Sardinia; ends with ITA absorption of PAP",3.2
325329,325,"ITA",329,"SIC",1,186011,186102,"Through Papal States & Naples; begins with ITA absorption of PAP; ends with ITA absorption of SIC",3.2
325331,325,"ITA",331,"SNM",1,199203,201612,"Begins with SNM system entry",3.2
325332,325,"ITA",332,"MOD",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD",3.2
325335,325,"ITA",335,"PMA",1,185101,186003,"Begins with PMA system entry; ends with ITA absorption of PMA",3.2
325337,325,"ITA",337,"TUS",4,181601,186003,"Across Ligurian Sea; ends with ITA absorption of TUS",3.2
325338,325,"ITA",338,"MLT",4,196409,201612,"Across Malta Channel (Mediterranean Sea); begins with MLT system entry",3.2
325339,325,"ITA",339,"ALB",4,191401,193904,"Across Strait of Otranto; begins with ALB system entry; ends with ITA occupation of ALB",3.2
325339,325,"ITA",339,"ALB",4,194411,201612,"Across Strait of Otranto; resumes after ITA occupation of ALB ends",3.2
325341,325,"ITA",341,"MNG",4,200606,201612,"Across Adriatic Sea; begins with MNG secession from YUG",3.2
325344,325,"ITA",344,"CRO",3,199201,201612,"Across Adriatic Sea; begins with CRO system entry",3.2
325345,325,"ITA",345,"YUG",1,191909,194104,"Through Slovenia; begins with ITA acquisition of Venezia Giulia (Gorizia-Gradisca/Istria/part of Carniola); ends with GMY occupation of YUG",3.2
325345,325,"ITA",345,"YUG",1,194410,199201,"Through Slovenia; resumes after GMY occupation of YUG ends",3.2
325345,325,"ITA",345,"YUG",4,199201,200606,"Across Adriatic Sea; sea contiguity with MNG begins after land contiguity ends with SLV secession from YUG; ends with MNG secession from YUG",3.2
325349,325,"ITA",349,"SLV",1,199201,201612,"Begins with SLV system entry",3.2
325350,325,"ITA",350,"GRC",5,186102,186403,"Across Ionian Sea (though Salentina Peninsula); begins with ITA absorption of SIC; replaced by closer contiguity with GRC acquisition of Corfu",3.2
325350,325,"ITA",350,"GRC",4,186403,194104,"Across Ionian Sea; through Corfu; begins with GRC acquisition of Ionian Islands; ends with GMY occupation of GRC",3.2
325350,325,"ITA",350,"GRC",4,194410,201612,"Across Ionian Sea; resumes after GMY occupation of GRC ends",3.2
325615,325,"ITA",615,"ALG",4,196207,201612,"Across Mediterranean Sea (through Sardinia); begins with ALG system entry",3.2
325616,325,"ITA",616,"TUN",4,186102,188105,"Across Mediterranean Sea (through Sicily); begins with ITA absorption of SIC; ends with FRN occupation of TUN",3.2
325616,325,"ITA",616,"TUN",4,195603,201612,"Across Mediterranean Sea (through Sicily); resumes with TUN system reentry",3.2
325620,325,"ITA",620,"LIB",5,195112,201612,"Across Mediterranean Sea (through Sicily); begins with LIB system entry",3.2
325640,325,"ITA",640,"TUR",4,186102,191210,"Across Mediterranean Sea (through Lampedusa Island & Libya); begins with ITA absorption of SIC; ends with ITA acquisition of Libya",3.2
327329,327,"PAP",329,"SIC",1,181601,186011,"Ends with ITA absorption of PAP",3.2
327332,327,"PAP",332,"MOD",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD",3.2
327337,327,"PAP",337,"TUS",1,181601,186003,"Ends with ITA absorption of TUS",3.2
327640,327,"PAP",640,"TUR",5,181601,186011,"Across Adriatic Sea (through Albania); ends with ITA absorption of PAP",3.2
329350,329,"SIC",350,"GRC",5,182801,186102,"Across Ionian Sea; begins with GRC system entry; ends with ITA absorption of SIC",3.2
329616,329,"SIC",616,"TUN",4,182501,186102,"Across Mediterranean Sea; begins with TUN system entry; ends with ITA absorption of SIC",3.2
329640,329,"SIC",640,"TUR",4,181601,186102,"Across Mediterranean Sea (through Libya); ends with ITA absorption of SIC",3.2
332335,332,"MOD",335,"PMA",1,185101,186003,"Begins with PMA system entry; ends with ITA absorption of PMA and MOD",3.2
332337,332,"MOD",337,"TUS",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD and TUS",3.2
338339,338,"MLT",339,"ALB",5,196409,201612,"Across Mediterranean and Ionian Seas; begins with MLT system entry",3.2
338350,338,"MLT",350,"GRC",5,196409,201612,"Across Mediterranean Sea; begins with MLT system entry",3.2
338616,338,"MLT",616,"TUN",5,196409,201612,"Across Mediterranean Sea; begins with MLT system entry",3.2
338620,338,"MLT",620,"LIB",5,196409,201612,"Across Mediterranean Sea; begins with MLT system entry",3.2
339341,339,"ALB",341,"MNG",1,200606,201612,"Begins with MNG system entry",3.2
339343,339,"ALB",343,"MAC",1,199304,201612,"Begins with MAC system entry",3.2
339344,339,"ALB",344,"CRO",4,199201,201612,"Across Adriatic Sea; begins with CRO system entry",3.2
339345,339,"ALB",345,"YUG",1,191401,193904,"Through Montenegro and Kosovo; ends with ITA occupation of ALB",3.2
339345,339,"ALB",345,"YUG",1,194411,200802,"Through Kosovo and (until 2006) Montenegro; resumes after ALB & YUG reenter system; ends with KOS independence",3.2
339347,339,"ALB",347,"KOS",1,200802,201612,"Begins with KOS system entry",3.2
339350,339,"ALB",350,"GRC",1,191401,193904,"Begins with ALB system entry; ends with ITA occupation of ALB",3.2
339350,339,"ALB",350,"GRC",1,194411,201612,"Resumes after ITA occupation of ALB ends",3.2
341344,341,"MNG",344,"CRO",1,200606,201612,"Begins with MNG system entry",3.2
341345,341,"MNG",345,"YUG",1,200606,201612,"Begins with MNG system entry",3.2
341346,341,"MNG",346,"BOS",1,200606,201612,"Begins with MNG system entry",3.2
341347,341,"MNG",347,"KOS",1,200802,201612,"Begins with KOS system entry",3.2
343345,343,"MAC",345,"YUG",1,199304,201612,"Through Serbia and Kosovo; begins with MAC system entry",3.2
343347,343,"MAC",347,"KOS",1,200802,201612,"Begins with KOS system entry",3.2
343350,343,"MAC",350,"GRC",1,199304,201612,"Begins with MAC system entry",3.2
343355,343,"MAC",355,"BUL",1,199304,201612,"Begins with MAC system entry",3.2
344345,344,"CRO",345,"YUG",1,199201,201612,"Through Vojvodina (Serbia) and (until 2006) Montenegro",3.2
344346,344,"CRO",346,"BOS",1,199204,201612,"Begins with BOS system entry",3.2
344349,344,"CRO",349,"SLV",1,199201,201612,"Begins with CRO/SLV system entry",3.2
344350,344,"CRO",350,"GRC",5,199201,201612,"Across Adriatic and Strait of Otranto (through Othonoi Island near Corfu); begins with CRO system entry",3.2
345346,345,"YUG",346,"BOS",1,199204,201612,"Through Serbia/Kosovo and (until 2006) Montenegro; begins with BOS system entry",3.2
345347,345,"YUG",347,"KOS",1,200802,201612,"Begins with KOS system entry",3.2
345350,345,"YUG",350,"GRC",1,191308,194104,"Through Macedonia; begins after Balkan wars; ends with WW2 occupation of YUG & GRC",3.2
345350,345,"YUG",350,"GRC",1,194411,199304,"Through Macedonia (FYROM); resumes after YUG reenters system; ends with MAC secession from YUG",3.2
345355,345,"YUG",355,"BUL",1,190810,194104,"Through Serbia; begins with BUL system entry; ends with GMY occupation of YUG",3.2
345355,345,"YUG",355,"BUL",1,194411,201612,"Through Serbia; resumes after GMY occupation of YUG ends",3.2
345360,345,"YUG",360,"ROM",1,187807,194104,"Through Serbia and Vojovodina; begins with YUG/ROM system entry; ends with GMY occupation of YUG",3.2
345360,345,"YUG",360,"ROM",1,194411,201612,"Through Serbia and Vojovodina; resumes after GMY occupation of YUG ends",3.2
345640,345,"YUG",640,"TUR",1,187807,191308,"Through Macedonia; begins with YUG system entry; ends with TUR losses in Balkan wars",3.2
350352,350,"GRC",352,"CYP",5,196008,201612,"Across Mediterranean Sea (through Rhodes); begins with CYP system entry",3.2
350355,350,"GRC",355,"BUL",1,191308,194104,"Through Macedonia; begins after Balkan wars; ends with GMY occupation of GRC",3.2
350355,350,"GRC",355,"BUL",1,194411,201612,"Resumes after GMY occupation of GRC ends",3.2
350620,350,"GRC",620,"LIB",5,195112,201612,"Across Mediterranean Sea; begins with LIB system entry",3.2
350640,350,"GRC",640,"TUR",1,182801,191308,"Through Macedonia; begins with GRC system entry; land contiguity ends with TUR losses in Balkan wars",3.2
