Id,CoW,Label,Capital,Start,End,Notes,UN,FAO,EC.EU,Latitude,Longitude,Area,Region,Land.Area.Sqkm,EEZ,CoastLine,FishConsump2007,ThreatSpecies.2010,MPA2010,CoastalPop,Pop.Density,PopDensLog,MPA.EEZ,MPA.INV,EEZ.TRAWL,MSI.ECOL,BIRD.PROT,MAM.PROT,LV.GDP,MEAL.MAR,CODE.FAO,STAT.REP,SUB.GOOD,CATCH.FUEL,SUB.LV,MSI.SOC
SMR,331,San Marino,San Marino,0301-09-03,9999-12-31,,1992-03-02,1999-11-12,,43.94236,12.457777,EUROPE,Southern Europe,61,0,0,,0,0,0,491.8,2.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRA,220,France,Paris,0486-01-01,1942-11-11,,1945-10-24,1945-10-16,1952-07-23,46.22764,2.213749,EUROPE,Western Europe,547030,11035000,7330,2147043.95,40,21.3397280755276,39.6,113.5,2.059,0,1,3,6.4,5.9,7.4,1,9,5,63.6,1,0,8,7
BAV,245,Bavaria,Munich,0555-01-01,1871-01-18,,,,,,,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,
BGR,355,Bulgaria,Sofia,0681-12-31,1018-12-31,,1955-12-14,1967-11-06,2007-01-01,42.733883,25.48583,EUROPE,Eastern Europe,110910,34307,457,32104.56,18,3.18146472610744,29.2,65.5,1.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAP,327,Papal States,Rome,0754-07-28,1798-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,344,Croatia,Zagreb,0879-06-07,1102-12-31,,1992-05-22,1993-11-08,2013-07-01,44.236804,15.754395,EUROPE,Southern Europe,56542,59032,5664,67788.4,56,3.35876874780964,37.9,79.4,1.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,730,Republic of Korea,Seoul,0918-01-01,1910-08-22,,1991-09-17,1949-11-25,,35.907757,127.76692,ASIA,Eastern Asia,98480,300851,12478,,17,3.85388678453516,100,499.9,2.7,1,0,4,7.1,2.8,5.3,5,10,5.5,39.8,0,0,8,6.4
HUN,310,Hungary,Budapest,1000-12-25,1526-08-29,,1955-12-14,1967-11-06,2004-05-01,47.162495,19.503304,EUROPE,Eastern Europe,93030,0,0,,8,0,0,106.8,2.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POL,290,Poland,Warsaw,1025-04-18,1795-10-24,,1945-10-24,1957-11-09,2004-05-01,51.919437,19.145136,EUROPE,Eastern Europe,312685,29797,1032,363610.11,6,4.10523250491291,13.5,123.1,2.094,1,1,6,5.2,3.7,7.6,1,9,2.5,16.2,5,4,6,5.2
ESP,230,Spain,Madrid,1065-12-24,9999-12-31,Calculated as continuator of first Kingdom (until 1230) and then Crown (until 1702/1715) of Castile,1955-12-14,1951-04-05,1986-01-01,40.46367,-3.74922,EUROPE,Southern Europe,504782,1039233,7268,1763402.46,62,3.48654579428386,67.9,80.2,1.91,1,2,4,8.7,4.8,7.1,2,9,5.2,67.5,0,0,6,7.1
GBR,200,United Kingdom,London,1066-12-25,9999-12-31,,1945-10-24,1945-10-16,1973-01-01,55.37805,-3.435973,EUROPE,Western Europe,244820,6805586,19717,,41,5.69842480996461,98.6,248.9,2.398,1,5,4,4.5,5.3,8,1,5,5.2,60.8,5,4,9,4.2
PRT,235,Portugal,Lisbon,1139-07-25,1578-08-04,,1955-12-14,1946-09-11,1986-01-01,39.39987,-8.224454,EUROPE,Southern Europe,92391,1727408,2830,583314.89,47,3.05723347690489,92.7,115.6,2.067,0,1,4,6.8,3.3,7.4,2,6,4.1,70,2,0,6,5.7
BIH,346,Bosnia and Herzegovina,Sarajevo,1154-12-31,1463-06-05,,1992-05-22,1993-11-08,,43.915886,17.679075,EUROPE,Southern Europe,51129,50,23,,31,0.707014981566435,46.6,89.8,1.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR,355,Bulgaria,Sofia,1185-10-26,1396-09-25,,1955-12-14,1967-11-06,2007-01-01,42.733883,25.48583,EUROPE,Eastern Europe,110910,34307,457,32104.56,18,3.18146472610744,29.2,65.5,1.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THA,800,Thailand,Bangkok,1238-01-01,9999-12-31,,1946-12-16,1947-08-27,,15.870032,100.99254,ASIA,South-Eastern Asia,514000,299397,7066,2067666.54,72,4.37738950292251,38.7,127.4,2.109,1,2,3,3.3,3.3,6.3,6,9,2,22.1,0,0,7,4.9
ALB,339,Albania,Tirana,1272-02-21,1392-12-31,,1955-12-14,1973-11-12,,41.15333,20.168331,EUROPE,Southern Europe,28748,13691,649,16581.53,38,1.6240838244711,97.1,125.9,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,232,Andorra,Andorra la Vella,1278-09-08,1812-01-26,,1993-07-28,2007-11-17,,42.546246,1.601554,EUROPE,Southern Europe,468,0,0,,1,0,0,154.7,2.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,225,Switzerland,Bern,1291-08-01,9999-12-31,,2002-09-10,1946-09-11,,46.818188,8.227512,EUROPE,Western Europe,41290,0,0,112565.32,9,0,0,183.6,2.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITA,325,Italy,Rome,1324-02-29,9999-12-31,Previously the Kingdom of Sardinia,1955-12-14,1946-09-12,1952-07-23,41.87194,12.56738,EUROPE,Southern Europe,301230,541915,9226,1446902.87,42,17.4352886281145,79.1,193,2.288,1,3,4,5.3,4.8,6.4,1,9,4.2,23.1,3,0,6,5.9
SRB,345,Yugoslavia-Serbia,Belgrade,1346-04-16,1389-06-28,,1945-10-24,2001-11-02,,44.01652,21.00586,EUROPE,Southern Europe,102350,0,0,,11,0,0,99.3,2.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,359,Moldavia,Chisinau,1346-12-31,1859-02-05,,1992-03-02,1995-10-20,,47.02833,28.827967,EUROPE,Eastern Europe,33843,0,0,,9,0,9.1,127.8,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SIC,329,Two Sicilies,Naples,1442-06-02,1458-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD,332,Modena,Modena,1452-05-18,1796-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,640,Turkey,Ankara,1453-05-29,9999-12-31,From the conquest of Constantinople,1945-10-24,1948-04-06,,38.963745,35.24332,ASIA,Western Asia,780580,261654,8140,505835.92,67,2.42592510837061,57.5,92.1,1.969,1,1,4,5,3.4,4.9,2,6,1.8,28,0,4,10,5
IRN,630,Islamic Republic of Iran,Tehran,1501-07-31,9999-12-31,,1945-10-24,1953-12-01,,32.42791,53.688046,ASIA,Western Asia,1648000,168718,5891,,29,1.71311720295393,23.9,40,1.613,1,1,0,3.7,2.8,5.3,1,9,2,22.6,2,0,7,4.8
SIC,329,Two Sicilies,Naples,1501-08-01,1714-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,625,Funj Sultanate of Sennar,Khartoum,1504-01-01,1821-06-14,,1956-11-12,1956-09-13,,12.862807,30.217636,AFRICA,Northern Africa,2505810,68148,2245,70656.28,17,0.0459020347428708,2.8,16,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWE,380,Sweden,Stockholm,1523-06-06,9999-12-31,From coronation of Gustav I,1946-11-19,1950-02-13,1995-01-01,60.128162,18.643501,EUROPE,Northern Europe,449964,160885,26384,261003.42,11,5.33218108764864,87.7,20.1,1.324,1,10,3,5.4,4.2,8,1,5,4.5,27.5,6,0,8,6.2
DNK,390,Denmark,Copenhagen,1523-06-06,1940-04-09,From Swedish secession from Kalmar Union to German occupation,1945-10-24,1945-10-16,1973-01-01,56.26392,9.501785,EUROPE,Northern Europe,43094,2551238,5316,133559.83,14,3.21829964551571,100,127.3,2.108,1,8,3,5.5,4.3,7.8,5,5,5.7,41.6,1,4,0,6.5
DZA,615,Ottoman Algeria,Algiers,1529-05-29,1830-07-07,From Capture of Peñón to the French invasion of Algiers,1962-10-08,1963-11-19,,28.033886,1.659626,AFRICA,Northern Africa,2381740,126353,1557,174448.39,33,0.286329749270636,68.8,14.2,1.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMA,335,Parma,Parma,1545-09-16,1802-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,365,Russian Federation,Moscow,1547-01-16,9999-12-31,,1945-10-24,2006-04-11,,61.52401,105.318756,EUROPE,Eastern Europe,17075200,7566673,110310,2676603.89,35,10.8114203540319,14.9,8.2,0.964,1,0,4,8.7,3.4,5.2,3,10,3.4,56.4,3,0,4,5.4
TUS,337,Tuscany,Florence,1569-08-27,1801-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,210,Netherlands,Amsterdam,1581-07-26,1940-07-14,,1945-12-10,1945-10-16,1952-07-23,52.132633,5.291266,EUROPE,Western Europe,41526,154011,1914,313134.65,12,22.1084195416424,93.4,400.8,2.604,1,3,0,9,4.3,7.9,5,10,5.5,31.8,1,4,10,7.1
PRT,235,Portugal,Lisbon,1640-12-01,9999-12-31,,1955-12-14,1946-09-11,1986-01-01,39.39987,-8.224454,EUROPE,Southern Europe,92391,1727408,2830,583314.89,47,3.05723347690489,92.7,115.6,2.067,0,1,4,6.8,3.3,7.4,2,6,4.1,70,2,0,6,5.7
MCO,221,Monaco,Monaco,1641-09-14,1793-02-14,,1993-05-28,2001-11-02,,43.73842,7.424616,EUROPE,Western Europe,2,288,4,,9,99.9999959582785,100,16400,4.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,600,Morocco,Rabat,1664-08-02,1912-03-30,From coronation of Al-Rashid to Treaty of Fez,1956-11-12,1956-09-13,,31.791702,-7.09262,AFRICA,Northern Africa,446550,575230,2009,299544.15,45,1.32020165005104,65.1,76.9,1.892,0,1,3,5.5,3.4,5.8,4,6,3.5,29.3,2,4,7,5.8
DEU,255,Germany (Prussia),Berlin,1701-01-18,1945-05-08,Calculated from the Coronation of Frederick I of Prussia,1973-09-18,1950-11-27,1952-07-23,51.16569,10.451526,EUROPE,Western Europe,357021,57485,3624,1218325.22,21,40.2846753942246,14.6,230.7,2.365,2,10,2,9,5.3,8.8,1,8,4.2,26.9,1,4,8,7.1
TUN,616,Tunisia,Tunis,1705-07-15,1881-05-12,From coronation of Al-Husayn I ibn Ali to establishment of French protectorate,1956-11-12,1955-11-25,,33.886917,9.537499,AFRICA,Northern Africa,163610,101857,1927,131265.68,31,1.16841042600534,84,63.5,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBY,620,Tripolitania,Tripoli,1711-07-29,1835-05-26,From coronation of Ahmed I to reoccupation by Ottoman Empire,1955-12-14,1953-11-24,,26.3351,17.22833,AFRICA,Northern Africa,1759540,351589,2025,60819.46,21,0.0500477858983402,78.7,3.5,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,223,Liechtenstein,Vaduz,1718-01-23,1806-07-25,,1990-09-18,NA,,47.152836,9.546432,EUROPE,Western Europe,160,0,0,,0,0,0,215.6,2.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAU,670,Emirate of Diriyah,Riyadh,1744-01-01,1818-04-30,,1945-10-24,1948-11-23,,23.885942,45.079163,ASIA,Western Asia,1960582,228633,7572,221644.94,22,3.43284721861953,30.3,14.4,1.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,United States of America,Washington DC,1776-07-04,9999-12-31,,1945-10-24,1945-10-16,,37.09024,-95.71289,NORTHERN AMERICA,Northern America,9629091,11351000,133312,,177,28.5956543020562,43.3,31.6,1.513,1,3,4,6.1,3.9,5,1,9,6.8,69.4,7,0,8,6.1
PAP,327,Papal States,Rome,1800-03-14,1809-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSE,273,Hesse Electoral,Kassel,1803-04-27,1807-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,41,Haiti,Port-au-Prince,1804-01-01,1915-07-28,,1945-10-24,1945-10-16,,18.971188,-72.28522,LATIN AMERICA,Caribbean,27750,126760,1977,39045.2,17,0,99.6,321.6,2.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT,305,Austria,Vienna,1804-08-11,1867-03-30,,1955-12-14,1947-08-27,1995-01-01,47.51623,14.550072,EUROPE,Western Europe,83858,0,0,111015.63,11,0,2.2,97.9,1.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGY,651,Egypt,Cairo,1805-05-17,9999-12-31,,1945-10-24,1945-10-16,,26.820553,30.802498,AFRICA,Northern Africa,1001450,263451,5898,1337778.35,36,9.32173870867686,53.1,81.6,1.917,1,5,4,5.4,5.5,5.9,1,10,1.4,15.6,2,0,8,6
WRT,271,Wuerttemburg,Stuttgart,1805-12-26,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAD,267,Baden,Karlsruhe,1806-08-06,1871-01-18,,,,,,,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,
HSG,275,Hesse Grand Ducal,Darmstadt,1806-08-13,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHT,,State of Haiti,Milot,1806-10-17,1820-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAX,269,Saxony,Dresden,1806-12-20,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,290,Poland,Warsaw,1807-06-09,1815-06-09,,1945-10-24,1957-11-09,2004-05-01,51.919437,19.145136,EUROPE,Eastern Europe,312685,29797,1032,363610.11,6,4.10523250491291,13.5,123.1,2.094,1,1,6,5.2,3.7,7.6,1,9,2.5,16.2,5,4,6,5.2
MDG,580,Madagascar,Antananarivo,1810-07-06,1896-08-06,From death of Andrianampoinimerina to French proclamation of colony,1960-09-20,1961-11-09,,-18.766947,46.869106,AFRICA,Eastern Africa,587040,1225259,9935,136750.13,83,0.118586566600924,55.1,34.1,1.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY,150,Paraguay,Asuncion,1811-05-14,9999-12-31,,1945-10-24,1945-10-30,,-23.442503,-58.443832,LATIN AMERICA,South America,406750,0,0,24386.14,0,0,0,16.8,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,223,Liechtenstein,Vaduz,1813-10-19,1815-06-20,,1990-09-18,NA,,47.152836,9.546432,EUROPE,Western Europe,160,0,0,,0,0,0,215.6,2.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,232,Andorra,Andorra la Vella,1814-03-10,9999-12-31,,1993-07-28,2007-11-17,,42.546246,1.601554,EUROPE,Southern Europe,468,0,0,,1,0,0,154.7,2.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMA,335,Parma,Parma,1814-04-11,1859-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,221,Monaco,Monaco,1814-05-17,9999-12-31,,1993-05-28,2001-11-02,,43.73842,7.424616,EUROPE,Western Europe,2,288,4,,9,99.9999959582785,100,16400,4.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSE,273,Hesse Electoral,Kassel,1814-05-30,1866-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAP,327,Papal States,Rome,1814-05-30,1849-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD,332,Modena,Modena,1814-07-14,1859-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN,240,Hanover,Hannover,1814-10-12,1866-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUS,337,Tuscany,Florence,1815-06-09,1859-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEC,280,Mecklenburg Schwerin,Schwerin,1815-06-14,1871-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,160,Argentina,Buenos Aires,1816-07-09,9999-12-31,,1945-10-24,1951-11-21,,-38.416096,-63.616673,LATIN AMERICA,South America,2766890,1159063,8397,252781.45,36,1.10372557788221,45.1,14.7,1.196,0,1,0,7.4,4,7.1,5,8,3.4,36.7,1,0,7,5.9
SIC,329,Two Sicilies,Naples,1816-12-12,1861-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,155,Chile,Santiago,1818-02-12,9999-12-31,,1945-10-24,1946-05-17,,-35.675148,-71.54297,LATIN AMERICA,South America,756950,3681989,78563,333889.22,19,3.68504677471,81.5,21.7,1.356,0,0,4,2.9,4.4,7,6,5,5.4,62.3,0,7,10,4.1
UPC,89,United Provinces of Central America,Guatemala,1821-09-15,1822-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,70,Mexico,Mexico,1821-09-28,9999-12-31,,1945-11-07,1945-10-16,,23.6345,-102.55279,LATIN AMERICA,Central America,1972550,3177593,23761,1160718.17,150,16.6683811136481,28.7,55.7,1.754,1,1,3,4.9,4.2,6.9,2,7,4.5,44.1,1,0,8,5.2
DOM,42,Dominican Republic,Santo Domingo,1821-11-30,1822-02-09,,1945-10-24,1945-10-16,,18.735693,-70.16265,LATIN AMERICA,Caribbean,48730,255898,1612,105707.13,17,30.3737527363071,100,195.1,2.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCL,99,Gran Colombia,Bogota,1821-12-17,1831-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,140,Brazil,Brasilia,1822-09-07,9999-12-31,,1945-10-24,1945-10-16,,-14.235004,-51.92528,LATIN AMERICA,South America,8511965,3660955,33379,1305763.15,80,16.4799420040554,48.6,22.5,1.371,1,1,3,2.5,1.7,7,1,9,3.1,45.8,0,0,0,4.8
UPC,89,United Provinces of Central America,Guatemala,1823-07-01,1839-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,670,Emirate of Nejd,Riyadh,1824-01-01,1891-01-24,,1945-10-24,1948-11-23,,23.885942,45.079163,ASIA,Western Asia,1960582,228633,7572,221644.94,22,3.43284721861953,30.3,14.4,1.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PER,135,Peru,Lima,1824-12-09,9999-12-31,,1945-10-31,1952-06-17,,-9.189967,-75.01515,LATIN AMERICA,South America,1285220,906454,3362,608944.12,19,2.84293107802319,57.2,22.7,1.375,0,0,4,4.3,4.1,6.3,7,8,4.3,36,8,10,9,4.9
BOL,145,Plurinational State of Bolivia,Sucre,1825-08-06,9999-12-31,,1945-11-14,1945-10-16,,-16.290154,-63.588654,LATIN AMERICA,South America,1098580,0,0,16237.52,0,0,0,8.4,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,350,Greece,Athens,1827-05-17,1941-04-23,,1945-10-25,1945-10-16,1981-01-01,39.074207,21.824312,EUROPE,Southern Europe,131940,505572,15147,234330.85,73,2.61449496689692,99.2,81.3,1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,101,Bolivarian Republic of Venezuela,Caracas,1830-01-13,9999-12-31,,1945-11-15,1945-10-16,,6.42375,-66.58973,LATIN AMERICA,South America,912050,471507,6762,458760.27,34,15.3341622542775,73.1,29,1.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
